City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Lamu,KE,76.82,clear sky,-2.2717,40.902,Lamu House
490,Conway,US,85.08,few clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
491,Sao Cristovao,BR,80.51,few clouds,-11.0147,-37.2064,Vó Nazinha Hostel
493,Yafran,LY,65.93,scattered clouds,32.0633,12.5286,بيوت الشباب بيفرن
494,Kitwe,ZM,74.73,overcast clouds,-12.7961,28.2477,Crossroad Lodge Kitwe
496,Biak,ID,76.51,broken clouds,-0.9131,122.8766,Penginapan Kim
500,Norcasia,CO,79.18,broken clouds,5.5778,-74.8852,Hotel Amani
501,Fort Walton Beach,US,73.45,moderate rain,30.4058,-86.6188,Best Western Ft. Walton Beachfront
503,Kailua,US,83.14,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
504,Marawi,PH,65.64,broken clouds,7.9986,124.2928,Derogongan Residence
508,Maracaibo,VE,84.09,light rain,10.6317,-71.6406,Motel Aladdin
513,Auki,SB,83.73,few clouds,-8.7676,160.7034,Auki Motel
515,Sadao,TH,75.02,overcast clouds,6.6388,100.4234,Banana Resort Sadao
516,Araouane,ML,89.56,few clouds,18.9048,-3.5265,
517,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
520,Lorengau,PG,81.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
521,La Ligua,CL,82.18,clear sky,-32.4524,-71.2311,Hotel Anchimallen
522,Haimen,CN,66.09,broken clouds,23.1935,116.6142,Jinghao Business Hotel
529,Beloha,MG,72.39,broken clouds,-25.1667,45.05,
535,Tougan,BF,80.89,scattered clouds,13.0667,-3.0667,Hôtel SMAK
537,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
539,Kudahuvadhoo,MV,82.47,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
540,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
541,Contamana,PE,93.76,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
543,Marrakesh,MA,71.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
544,Pundaguitan,PH,82.18,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
545,Beni Mazar,EG,69.42,clear sky,28.4962,30.8029,Link Co-Working space & Development center
546,Baculin,PH,78.17,moderate rain,7.4525,126.5842,Shovy's Cove
547,Segou,ML,86.61,scattered clouds,13.4317,-6.2157,Comme chez soi
550,Kutum,SD,75.43,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
552,Ankazoabo,MG,68.83,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
553,Acajutla,SV,83.68,broken clouds,13.5928,-89.8275,asi es
554,Moerai,PF,72.88,clear sky,-22.4333,-151.3333,Le Manotel
557,Rivadavia,AR,84.67,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
558,Dong Hoi,VN,68.67,overcast clouds,17.4833,106.6,Nam Long Hotel
560,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
563,Canelones,UY,71.31,clear sky,-34.6444,-56.2886,Chacra Los Cardenales
568,Kilifi,KE,79.18,few clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
569,Karratha,AU,74.95,clear sky,-20.7377,116.8463,ibis Styles Karratha
570,Moctezuma,MX,85.05,clear sky,29.8,-109.6667,Hotel Lobohombo
571,Thabazimbi,ZA,69.21,clear sky,-24.5917,27.4116,Eagle's Rest
572,Springdale,US,74.79,scattered clouds,36.1867,-94.1288,Springdale Inn
573,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
580,Port Macquarie,AU,69.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
581,Ascension,US,82.4,overcast clouds,30.2169,-90.9001,Highland Inn
583,Kindu,CD,69.57,moderate rain,-2.95,25.95,Résidence Okanda
584,Tecoanapa,MX,81.25,overcast clouds,16.5167,-98.75,Hotel Manglares
587,Bagotville,AU,69.64,light rain,-28.9833,153.4167,Broadwater Sunrise Caravan Park
589,Nueve De Julio,AR,65.86,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
591,Havelock,US,74.05,overcast clouds,34.8791,-76.9013,Sherwood Motel
593,Paciran,ID,78.22,moderate rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
594,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
600,Kieta,PG,83.53,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
604,Mahibadhoo,MV,82.72,few clouds,3.7833,72.9667,Omadhoo Inn
608,Biltine,TD,85.51,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
610,Agadez,NE,83.1,clear sky,19.75,10.25,
614,Fare,PF,75.29,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
615,Makakilo City,US,81.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
616,Bentiu,SS,80.13,few clouds,9.2333,29.8333,Mandela hôtel
619,Andilamena,MG,66.94,overcast clouds,-17.0167,48.5833,Police men home Andilamina
627,Amapa,BR,75.45,heavy intensity rain,1.0,-52.0,
628,Manvi,IN,73.4,overcast clouds,15.9833,77.05,My Manvi Home : AKSHAYA NILAYA
631,Quatre Cocos,MU,75.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
633,Olinda,BR,79.0,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
637,Huarmey,PE,67.57,clear sky,-10.0681,-78.1522,Hotel Miramar
638,Imbituba,BR,69.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
639,Shakawe,BW,72.03,broken clouds,-18.3667,21.85,Ditlhapi Guest House
642,General Pico,AR,73.99,clear sky,-35.6566,-63.7568,Euskadi Hotel
644,Mitsamiouli,KM,79.03,clear sky,-11.3847,43.2844,Foyer ADM
651,Charters Towers,AU,77.65,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
657,Tual,ID,81.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
658,Pacific Grove,US,66.58,overcast clouds,36.6177,-121.9166,Lovers Point Inn
660,Maneadero,MX,71.19,scattered clouds,31.7167,-116.5667,Casa De Thompson
662,Puerto Madero,MX,83.55,overcast clouds,14.7208,-92.4215,Hotel La Central
664,Banyo,CM,66.49,overcast clouds,6.75,11.8167,Motel JOMBA
665,Hit,IQ,69.58,clear sky,33.6416,42.8251,صالون زيرو
666,Fernandina Beach,US,80.78,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
667,Oussouye,SN,80.11,overcast clouds,12.485,-16.5469,Auberge du Routard
669,Moranbah,AU,79.09,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
670,Lusambo,CD,70.99,broken clouds,-4.9667,23.45,
671,Itoman,JP,75.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
