City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mataura,NZ,-46.1927,168.8643,53.35,90,99,0.78,overcast clouds
80,Peniche,PT,39.3558,-9.3811,63.88,87,50,7.43,scattered clouds
81,Castro,BR,-24.7911,-50.0119,59.68,91,98,1.99,overcast clouds
82,Jamestown,US,42.097,-79.2353,54.99,83,90,5.01,overcast clouds
83,Xique-Xique,BR,-10.8218,-42.7263,84.74,59,85,5.95,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,71.62,28,0,18.41,clear sky
85,Mildura,AU,-34.2,142.15,44.56,65,0,5.75,clear sky
86,Ruteng,ID,-8.6136,120.4721,62.8,94,100,0.56,overcast clouds
87,Wonthaggi,AU,-38.6044,145.5913,49.82,73,61,8.46,broken clouds
88,Bilma,NE,18.6853,12.9164,87.37,11,4,7.54,clear sky
89,Kudahuvadhoo,MV,2.6708,72.8944,82.71,73,58,16.46,broken clouds
90,Tiksi,RU,71.6872,128.8694,1.2,100,100,5.91,overcast clouds
91,Esperance,AU,-33.8667,121.9,67.84,36,100,26.4,overcast clouds
92,Sola,VU,-13.8833,167.55,80.64,75,21,11.5,few clouds
93,Wuwei,CN,37.9281,102.6414,44.69,49,71,6.2,broken clouds
94,Agadez,NE,19.75,10.25,82.89,13,0,3.62,clear sky
95,Mhlume,SZ,-26.0333,31.85,66.87,71,100,8.79,overcast clouds
96,Kirakira,SB,-10.4544,161.9205,80.87,82,17,7.87,few clouds
97,Barcelos,PT,41.5388,-8.6151,63.84,74,93,2.17,overcast clouds
98,Kvareli,GE,41.9524,45.8151,54.61,59,13,4.34,few clouds
99,Cabedelo,BR,-6.9811,-34.8339,84.87,64,99,11.86,overcast clouds
100,Shingu,JP,33.7333,135.9833,60.75,92,100,5.3,moderate rain
101,Vardo,NO,70.3705,31.1107,31.98,86,40,8.05,scattered clouds
102,Prince Rupert,CA,54.3161,-130.3201,49.69,72,100,5.75,overcast clouds
103,Atuona,PF,-9.8,-139.0333,77.92,70,15,17.67,few clouds
104,Eyl,SO,7.9803,49.8164,78.46,78,69,10.25,broken clouds
105,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,39,12.95,scattered clouds
106,Lasa,IT,46.6166,10.7002,43.68,52,24,2.93,few clouds
107,Iranshahr,IR,27.2025,60.6848,71.94,21,0,0.0,clear sky
108,Touros,BR,-5.1989,-35.4608,85.1,71,48,14.29,scattered clouds
109,Severo-Kurilsk,RU,50.6789,156.125,38.28,76,28,15.46,scattered clouds
110,Torbay,CA,47.6666,-52.7314,59.4,92,20,16.11,few clouds
111,Thinadhoo,MV,0.5333,72.9333,83.17,70,54,15.64,broken clouds
112,Kinsale,IE,51.7075,-8.5306,52.23,93,20,8.05,few clouds
113,Songjianghe,CN,42.1859,127.479,31.55,78,2,4.68,clear sky
114,Broken Hill,AU,-31.95,141.4333,49.71,46,0,6.91,clear sky
115,Isangel,VU,-19.55,169.2667,69.91,94,17,2.3,few clouds
116,Coahuayana,MX,18.7333,-103.6833,90.88,63,100,5.97,overcast clouds
117,Bandarbeyla,SO,9.4942,50.8122,78.62,78,27,8.43,scattered clouds
118,Namibe,AO,-15.1961,12.1522,64.78,82,0,8.41,clear sky
119,Yakeshi,CN,49.2833,120.7333,31.6,63,0,4.05,clear sky
120,Havelock,US,34.8791,-76.9013,80.06,70,85,3.0,overcast clouds
121,Kruisfontein,ZA,-34.0033,24.7314,53.89,78,0,3.33,clear sky
122,Kyra,RU,49.5776,111.9753,32.16,63,1,5.08,clear sky
123,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,75,5.75,broken clouds
124,Kuzino,RU,57.0224,59.4412,38.48,73,94,10.22,overcast clouds
125,Tura,IN,25.5198,90.2201,67.1,93,0,2.98,clear sky
126,Thompson,CA,55.7435,-97.8558,32.16,80,75,6.91,light shower snow
127,Cascais,PT,38.6979,-9.4215,64.26,61,0,5.01,clear sky
